"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Badister neopulchellus",5.2,6.1,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Licinini",,"Badister","Badister","neopulchellus",""
"Bradycellus lugubris",5.2,6.1,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Bradycellus","Triliarthrus","lugubris",""
"Agonum consimile",5.3,7,,"macropterous","Liebherr 1994","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Europhilus","consimile",""
"Agonum sordens",5.3,6.5,,,"Liebherr 1994","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini",,"Agonum","Europhilus","sordens",""
"Amara angustata",5.3,8,,,"Hieke 2000a","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Zezea","angustata",""
"Amara convexa",5.3,8,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","convexa",""
"Abaris splendidula",5.4,6.5,,,"Will 2002","Will 2002",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Abaris","Abaridius","splendidula",""
"Pterostichus similis",5.5,6.2,,,"Ball 1966","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Criobius","similis",""
"Amara familiaris",5.6,7.2,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Amara","familiaris",""
"Bembidion texanum",5.8,7,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Peryphanes","texanum",""
"Amara discors",6,8.8,,"subapterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Xenocelia","discors",""
"Amara quenseli",6,8.8,,"dimorphic; wings full or reduced","Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini",,"Amara","Paracelia","quenseli",""
"Pterostichus patruelis",6,8,,"variable; mostly reduced, occassionally macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Pterostichini",,"Pterostichus","Phonias","patruelis",""
